0xF900	0x8C48
0xF95A	0x8B80
0xF95B	0x62CF
0xF95C	0x6A02
0xF95D	0x8AFE
0xF95E	0x4E39
0xF95F	0x5BE7
0xF960	0x6012
0xF961	0x7387
0xF962	0x7570
0xF963	0x5317
0xF964	0x78FB
0xF965	0x4FBF
0xF966	0x5FA9
0xF967	0x4E0D
0xF968	0x6CCC
0xF969	0x6578
0xF96A	0x7D22
0xF96B	0x53C3
0xF96C	0x585E
0xF96D	0x7701
0xF96E	0x8449
0xF96F	0x8AAA
0xF970	0x6BBA
0xF971	0x8FB0
0xF972	0x6C88
0xF973	0x62FE
0xF974	0x82E5
0xF975	0x63A0
0xF976	0x7565
0xF977	0x4EAE
0xF978	0x5169
0xF979	0x51C9
0xF97A	0x6881
0xF97B	0x7CE7
0xF97C	0x826F
0xF97D	0x8AD2
0xF97E	0x91CF
0xF97F	0x52F5
0xF980	0x5442
0xF981	0x5973
0xF982	0x5EEC
0xF983	0x65C5
0xF984	0x6FFE
0xF985	0x792A
0xF986	0x95AD
0xF987	0x9A6A
0xF988	0x9E97
0xF989	0x9ECE
0xF98A	0x529B
0xF98B	0x66C6
0xF98C	0x6B77
0xF98D	0x8F62
0xF98E	0x5E74
0xF98F	0x6190
0xF990	0x6200
0xF991	0x649A
0xF992	0x6F23
0xF993	0x7149
0xF994	0x7489
0xF995	0x79CA
0xF996	0x7DF4
0xF997	0x806F
0xF998	0x8F26
0xF999	0x84EE
0xF99A	0x9023
0xF99B	0x934A
0xF99C	0x5217
0xF99D	0x52A3
0xF99E	0x54BD
0xF99F	0x70C8
0xF9A0	0x88C2
0xF9A1	0x8AAA
0xF9A2	0x5EC9
0xF9A3	0x5FF5
0xF9A4	0x637B
0xF9A5	0x6BAE
0xF9A6	0x7C3E
0xF9A7	0x7375
0xF9A8	0x4EE4
0xF9A9	0x56F9
0xF9AA	0x5BE7
0xF9AB	0x5DBA
0xF9AC	0x601C
0xF9AD	0x73B2
0xF9AE	0x7469
0xF9AF	0x7F9A
0xF9B0	0x8046
0xF9B1	0x9234
0xF9B2	0x96F6
0xF9B3	0x9748
0xF9B4	0x9818
0xF9B5	0x4F8B
0xF9B6	0x79AE
0xF9B7	0x91B4
0xF9B8	0x96B8
0xF9B9	0x60E1
0xF9BA	0x4E86
0xF9BB	0x50DA
0xF9BC	0x5BEE
0xF9BD	0x5C3F
0xF9BE	0x6599
0xF9BF	0x6A02
0xF9C0	0x71CE
0xF9C1	0x7642
0xF9C2	0x84FC
0xF9C3	0x907C
0xF9C4	0x9F8D
0xF9C5	0x6688
0xF9C6	0x962E
0xF9C7	0x5289
0xF9C8	0x677B
0xF9C9	0x67F3
0xF9CA	0x6D41
0xF9CB	0x6E9C
0xF9CC	0x7409
0xF9CD	0x7559
0xF9CE	0x786B
0xF9CF	0x7D10
0xF9D0	0x985E
0xF9D1	0x516D
0xF9D2	0x622E
0xF9D3	0x9678
0xF9D4	0x502B
0xF9D5	0x5D19
0xF9D6	0x6DEA
0xF9D7	0x8F2A
0xF9D8	0x5F8B
0xF9D9	0x6144
0xF9DA	0x6817
0xF9DB	0x7387
0xF9DC	0x9686
0xF9DD	0x5229
0xF9DE	0x540F
0xF9DF	0x5C65
0xF9E0	0x6613
0xF9E1	0x674E
0xF9E2	0x68A8
0xF9E3	0x6CE5
0xF9E4	0x7406
0xF9E5	0x75E2
0xF9E6	0x7F79
0xF9E7	0x88CF
0xF9E8	0x88E1
0xF9E9	0x91CC
0xF9EA	0x96E2
0xF9EB	0x533F
0xF9EC	0x6EBA
0xF9ED	0x541D
0xF9EE	0x71D0
0xF9EF	0x7498
0xF9F0	0x85FA
0xF9F1	0x96A3
0xF9F2	0x9C57
0xF9F3	0x9E9F
0xF9F4	0x6797
0xF9F5	0x6DCB
0xF9F6	0x81E8
0xF9F7	0x7ACB
0xF9F8	0x7B20
0xF9F9	0x7C92
0xF9FA	0x72C0
0xF9FB	0x7099
0xF9FC	0x8B58
0xF9FD	0x4EC0
0xF9FE	0x8336
0xF9FF	0x523A
0xFA00	0x5207
0xFA01	0x5EA6
0xFA02	0x62D3
0xFA03	0x7CD6
0xFA04	0x5B85
0xFA05	0x6D1E
0xFA06	0x66B4
0xFA07	0x8F3B
0xFA08	0x884C
0xFA09	0x964D
0xFA0A	0x898B
0xFA0B	0x5ED3
0xFA0C	0x5140
0xFA0D	0x55C0
0xFA10	0x585A
0xFA12	0x6674
0xFA15	0x51DE
0xFA16	0x732A
0xFA17	0x76CA
0xFA18	0x793C
0xFA19	0x795E
0xFA1A	0x7965
0xFA1B	0x798F
0xFA1C	0x9756
0xFA1D	0x7CBE
0xFA1E	0x7FBD
0xFA20	0x8612
0xFA22	0x8AF8
0xFA25	0x9038
0xFA26	0x90FD
0xFA2A	0x98EF
0xFA2B	0x98FC
0xFA2C	0x9928
0xFA2D	0x9DB4
0xFA30	0x4FAE
0xFA31	0x50E7
0xFA32	0x514D
0xFA33	0x52C9
0xFA34	0x52E4
0xFA35	0x5351
0xFA36	0x559D
0xFA37	0x5606
0xFA38	0x5668
0xFA39	0x5840
0xFA3A	0x58A8
0xFA3B	0x5C64
0xFA3C	0x5C6E
0xFA3D	0x6094
0xFA3E	0x6168
0xFA3F	0x618E
0xFA40	0x61F2
0xFA41	0x654F
0xFA42	0x65E2
0xFA43	0x6691
0xFA44	0x6885
0xFA45	0x6D77
0xFA46	0x6E1A
0xFA47	0x6F22
0xFA48	0x716E
0xFA49	0x722B
0xFA4A	0x7422
0xFA4B	0x7891
0xFA4C	0x793E
0xFA4D	0x7949
0xFA4E	0x7948
0xFA4F	0x7950
0xFA50	0x7956
0xFA51	0x795D
0xFA52	0x798D
0xFA53	0x798E
0xFA54	0x7A40
0xFA55	0x7A81
0xFA56	0x7BC0
0xFA57	0x7DF4
0xFA58	0x7E09
0xFA59	0x7E41
0xFA5A	0x7F72
0xFA5B	0x8005
0xFA5C	0x81ED
0xFA5D	0x8279
0xFA5E	0x8279
0xFA5F	0x8457
0xFA60	0x8910
0xFA61	0x8996
0xFA62	0x8B01
0xFA63	0x8B39
0xFA64	0x8CD3
0xFA65	0x8D08
0xFA66	0x8FB6
0xFA67	0x9038
0xFA68	0x96E3
0xFA69	0x97FF
0xFA6A	0x983B
0xFA70	0x4E26
0xFA71	0x51B5
0xFA72	0x5168
0xFA73	0x4F80
0xFA74	0x5145
0xFA75	0x5180
0xFA76	0x52C7
0xFA77	0x52FA
0xFA78	0x559D
0xFA79	0x5555
0xFA7A	0x5599
0xFA7B	0x55E2
0xFA7C	0x585A
0xFA7D	0x58B3
0xFA7E	0x5944
0xFA7F	0x5954
0xFA80	0x5A62
0xFA81	0x5B28
0xFA82	0x5ED2
0xFA83	0x5ED9
0xFA84	0x5F69
0xFA85	0x5FAD
0xFA86	0x60D8
0xFA87	0x614E
0xFA88	0x6108
0xFA89	0x618E
0xFA8A	0x6160
0xFA8B	0x61F2
0xFA8C	0x6234
0xFA8D	0x63C4
0xFA8E	0x641C
0xFA8F	0x6452
0xFA90	0x6556
0xFA91	0x6674
0xFA92	0x6717
0xFA93	0x671B
0xFA94	0x6756
0xFA95	0x6B79
0xFA96	0x6BBA
0xFA97	0x6D41
0xFA98	0x6EDB
0xFA99	0x6ECB
0xFA9A	0x6F22
0xFA9B	0x701E
0xFA9C	0x716E
0xFA9D	0x77A7
0xFA9E	0x7235
0xFA9F	0x72AF
0xFAA0	0x732A
0xFAA1	0x7471
0xFAA2	0x7506
0xFAA3	0x753B
0xFAA4	0x761D
0xFAA5	0x761F
0xFAA6	0x76CA
0xFAA7	0x76DB
0xFAA8	0x76F4
0xFAA9	0x774A
0xFAAA	0x7740
0xFAAB	0x78CC
0xFAAC	0x7AB1
0xFAAD	0x7BC0
0xFAAE	0x7C7B
0xFAAF	0x7D5B
0xFAB0	0x7DF4
0xFAB1	0x7F3E
0xFAB2	0x8005
0xFAB3	0x8352
0xFAB4	0x83EF
0xFAB5	0x8779
0xFAB6	0x8941
0xFAB7	0x8986
0xFAB8	0x8996
0xFAB9	0x8ABF
0xFABA	0x8AF8
0xFABB	0x8ACB
0xFABC	0x8B01
0xFABD	0x8AFE
0xFABE	0x8AED
0xFABF	0x8B39
0xFAC0	0x8B8A
0xFAC1	0x8D08
0xFAC2	0x8F38
0xFAC3	0x9072
0xFAC4	0x9199
0xFAC5	0x9276
0xFAC6	0x967C
0xFAC7	0x96E3
0xFAC8	0x9756
0xFAC9	0x97DB
0xFACA	0x97FF
0xFACB	0x980B
0xFACC	0x983B
0xFACD	0x9B12
0xFACE	0x9F9C
0xFACF	0x2284A
0xFAD0	0x22844
0xFAD1	0x233D5
0xFAD2	0x3B9D
0xFAD3	0x4018
0xFAD4	0x4039
0xFAD5	0x25249
0xFAD6	0x25CD0
0xFAD7	0x27ED3
0xFAD8	0x9F43
0xFAD9	0x9F8E
0x2F800	0x4E3D
0x2F801	0x4E38
0x2F802	0x4E41
0x2F803	0x20122
0x2F804	0x4F60
0x2F805	0x4FAE
0x2F806	0x4FBB
0x2F807	0x5002
0x2F808	0x507A
0x2F809	0x5099
0x2F80A	0x50E7
0x2F80B	0x50CF
0x2F80C	0x349E
0x2F80D	0x2063A
0x2F80E	0x514D
0x2F80F	0x5154
0x2F810	0x5164
0x2F811	0x5177
0x2F812	0x2051C
0x2F813	0x34B9
0x2F814	0x5167
0x2F815	0x518D
0x2F816	0x2054B
0x2F817	0x5197
0x2F818	0x51A4
0x2F819	0x4ECC
0x2F81A	0x51AC
0x2F81B	0x51B5
0x2F81C	0x291DF
0x2F81D	0x51F5
0x2F81E	0x5203
0x2F81F	0x34DF
0x2F820	0x523B
0x2F821	0x5246
0x2F822	0x5272
0x2F823	0x5277
0x2F824	0x3515
0x2F825	0x52C7
0x2F826	0x52C9
0x2F827	0x52E4
0x2F828	0x52FA
0x2F829	0x5305
0x2F82A	0x5306
0x2F82B	0x5317
0x2F82C	0x5349
0x2F82D	0x5351
0x2F82E	0x535A
0x2F82F	0x5373
0x2F830	0x537D
0x2F831	0x537F
0x2F832	0x537F
0x2F833	0x537F
0x2F834	0x20A2C
0x2F835	0x7070
0x2F836	0x53CA
0x2F837	0x53DF
0x2F838	0x20B63
0x2F839	0x53EB
0x2F83A	0x53F1
0x2F83B	0x5406
0x2F83C	0x549E
0x2F83D	0x5438
0x2F83E	0x5448
0x2F83F	0x5468
0x2F840	0x54A2
0x2F841	0x54F6
0x2F842	0x5510
0x2F843	0x5553
0x2F844	0x5563
0x2F845	0x5584
0x2F846	0x5584
0x2F847	0x5599
0x2F848	0x55AB
0x2F849	0x55B3
0x2F84A	0x55C2
0x2F84B	0x5716
0x2F84C	0x5606
0x2F84D	0x5717
0x2F84E	0x5651
0x2F84F	0x5674
0x2F850	0x5207
0x2F851	0x58EE
0x2F852	0x57CE
0x2F853	0x57F4
0x2F854	0x580D
0x2F855	0x578B
0x2F856	0x5832
0x2F857	0x5831
0x2F858	0x58AC
0x2F859	0x214E4
0x2F85A	0x58F2
0x2F85B	0x58F7
0x2F85C	0x5906
0x2F85D	0x591A
0x2F85E	0x5922
0x2F85F	0x5962
0x2F860	0x216A8
0x2F861	0x216EA
0x2F862	0x59EC
0x2F863	0x5A1B
0x2F864	0x5A27
0x2F865	0x59D8
0x2F866	0x5A66
0x2F867	0x36EE
0x2F868	0x36FC
0x2F869	0x5B08
0x2F86A	0x5B3E
0x2F86B	0x5B3E
0x2F86C	0x219C8
0x2F86D	0x5BC3
0x2F86E	0x5BD8
0x2F86F	0x5BE7
0x2F870	0x5BF3
0x2F871	0x21B18
0x2F872	0x5BFF
0x2F873	0x5C06
0x2F874	0x5F53
0x2F875	0x5C22
0x2F876	0x3781
0x2F877	0x5C60
0x2F878	0x5C6E
0x2F879	0x5CC0
0x2F87A	0x5C8D
0x2F87B	0x21DE4
0x2F87C	0x5D43
0x2F87D	0x21DE6
0x2F87E	0x5D6E
0x2F87F	0x5D6B
0x2F880	0x5D7C
0x2F881	0x5DE1
0x2F882	0x5DE2
0x2F883	0x382F
0x2F884	0x5DFD
0x2F885	0x5E28
0x2F886	0x5E3D
0x2F887	0x5E69
0x2F888	0x3862
0x2F889	0x22183
0x2F88A	0x387C
0x2F88B	0x5EB0
0x2F88C	0x5EB3
0x2F88D	0x5EB6
0x2F88E	0x5ECA
0x2F88F	0x2A392
0x2F890	0x5EFE
0x2F891	0x22331
0x2F892	0x22331
0x2F893	0x8201
0x2F894	0x5F22
0x2F895	0x5F22
0x2F896	0x38C7
0x2F897	0x232B8
0x2F898	0x261DA
0x2F899	0x5F62
0x2F89A	0x5F6B
0x2F89B	0x38E3
0x2F89C	0x5F9A
0x2F89D	0x5FCD
0x2F89E	0x5FD7
0x2F89F	0x5FF9
0x2F8A0	0x6081
0x2F8A1	0x393A
0x2F8A2	0x391C
0x2F8A3	0x6094
0x2F8A4	0x226D4
0x2F8A5	0x60C7
0x2F8A6	0x6148
0x2F8A7	0x614C
0x2F8A8	0x614E
0x2F8A9	0x614C
0x2F8AA	0x617A
0x2F8AB	0x618E
0x2F8AC	0x61B2
0x2F8AD	0x61A4
0x2F8AE	0x61AF
0x2F8AF	0x61DE
0x2F8B0	0x61F2
0x2F8B1	0x61F6
0x2F8B2	0x6210
0x2F8B3	0x621B
0x2F8B4	0x625D
0x2F8B5	0x62B1
0x2F8B6	0x62D4
0x2F8B7	0x6350
0x2F8B8	0x22B0C
0x2F8B9	0x633D
0x2F8BA	0x62FC
0x2F8BB	0x6368
0x2F8BC	0x6383
0x2F8BD	0x63E4
0x2F8BE	0x22BF1
0x2F8BF	0x6422
0x2F8C0	0x63C5
0x2F8C1	0x63A9
0x2F8C2	0x3A2E
0x2F8C3	0x6469
0x2F8C4	0x647E
0x2F8C5	0x649D
0x2F8C6	0x6477
0x2F8C7	0x3A6C
0x2F8C8	0x654F
0x2F8C9	0x656C
0x2F8CA	0x2300A
0x2F8CB	0x65E3
0x2F8CC	0x66F8
0x2F8CD	0x6649
0x2F8CE	0x3B19
0x2F8CF	0x6691
0x2F8D0	0x3B08
0x2F8D1	0x3AE4
0x2F8D2	0x5192
0x2F8D3	0x5195
0x2F8D4	0x6700
0x2F8D5	0x669C
0x2F8D6	0x80AD
0x2F8D7	0x43D9
0x2F8D8	0x6717
0x2F8D9	0x671B
0x2F8DA	0x6721
0x2F8DB	0x675E
0x2F8DC	0x6753
0x2F8DD	0x233C3
0x2F8DE	0x3B49
0x2F8DF	0x67FA
0x2F8E0	0x6785
0x2F8E1	0x6852
0x2F8E2	0x6885
0x2F8E3	0x2346D
0x2F8E4	0x688E
0x2F8E5	0x681F
0x2F8E6	0x6914
0x2F8E7	0x3B9D
0x2F8E8	0x6942
0x2F8E9	0x69A3
0x2F8EA	0x69EA
0x2F8EB	0x6AA8
0x2F8EC	0x236A3
0x2F8ED	0x6ADB
0x2F8EE	0x3C18
0x2F8EF	0x6B21
0x2F8F0	0x238A7
0x2F8F1	0x6B54
0x2F8F2	0x3C4E
0x2F8F3	0x6B72
0x2F8F4	0x6B9F
0x2F8F5	0x6BBA
0x2F8F6	0x6BBB
0x2F8F7	0x23A8D
0x2F8F8	0x21D0B
0x2F8F9	0x23AFA
0x2F8FA	0x6C4E
0x2F8FB	0x23CBC
0x2F8FC	0x6CBF
0x2F8FD	0x6CCD
0x2F8FE	0x6C67
0x2F8FF	0x6D16
0x2F900	0x6D3E
0x2F901	0x6D77
0x2F902	0x6D41
0x2F903	0x6D69
0x2F904	0x6D78
0x2F905	0x6D85
0x2F906	0x23D1E
0x2F907	0x6D34
0x2F908	0x6E2F
0x2F909	0x6E6E
0x2F90A	0x3D33
0x2F90B	0x6ECB
0x2F90C	0x6EC7
0x2F90D	0x23ED1
0x2F90E	0x6DF9
0x2F90F	0x6F6E
0x2F910	0x23F5E
0x2F911	0x23F8E
0x2F912	0x6FC6
0x2F913	0x7039
0x2F914	0x701E
0x2F915	0x701B
0x2F916	0x3D96
0x2F917	0x704A
0x2F918	0x707D
0x2F919	0x7077
0x2F91A	0x70AD
0x2F91B	0x20525
0x2F91C	0x7145
0x2F91D	0x24263
0x2F91E	0x719C
0x2F91F	0x243AB
0x2F920	0x7228
0x2F921	0x7235
0x2F922	0x7250
0x2F923	0x24608
0x2F924	0x7280
0x2F925	0x7295
0x2F926	0x24735
0x2F927	0x24814
0x2F928	0x737A
0x2F929	0x738B
0x2F92A	0x3EAC
0x2F92B	0x73A5
0x2F92C	0x3EB8
0x2F92D	0x3EB8
0x2F92E	0x7447
0x2F92F	0x745C
0x2F930	0x7471
0x2F931	0x7485
0x2F932	0x74CA
0x2F933	0x3F1B
0x2F934	0x7524
0x2F935	0x24C36
0x2F936	0x753E
0x2F937	0x24C92
0x2F938	0x7570
0x2F939	0x2219F
0x2F93A	0x7610
0x2F93B	0x24FA1
0x2F93C	0x24FB8
0x2F93D	0x25044
0x2F93E	0x3FFC
0x2F93F	0x4008
0x2F940	0x76F4
0x2F941	0x250F3
0x2F942	0x250F2
0x2F943	0x25119
0x2F944	0x25133
0x2F945	0x771E
0x2F946	0x771F
0x2F947	0x771F
0x2F948	0x774A
0x2F949	0x4039
0x2F94A	0x778B
0x2F94B	0x4046
0x2F94C	0x4096
0x2F94D	0x2541D
0x2F94E	0x784E
0x2F94F	0x788C
0x2F950	0x78CC
0x2F951	0x40E3
0x2F952	0x25626
0x2F953	0x7956
0x2F954	0x2569A
0x2F955	0x256C5
0x2F956	0x798F
0x2F957	0x79EB
0x2F958	0x412F
0x2F959	0x7A40
0x2F95A	0x7A4A
0x2F95B	0x7A4F
0x2F95C	0x2597C
0x2F95D	0x25AA7
0x2F95E	0x25AA7
0x2F95F	0x7AEE
0x2F960	0x4202
0x2F961	0x25BAB
0x2F962	0x7BC6
0x2F963	0x7BC9
0x2F964	0x4227
0x2F965	0x25C80
0x2F966	0x7CD2
0x2F967	0x42A0
0x2F968	0x7CE8
0x2F969	0x7CE3
0x2F96A	0x7D00
0x2F96B	0x25F86
0x2F96C	0x7D63
0x2F96D	0x4301
0x2F96E	0x7DC7
0x2F96F	0x7E02
0x2F970	0x7E45
0x2F971	0x4334
0x2F972	0x26228
0x2F973	0x26247
0x2F974	0x4359
0x2F975	0x262D9
0x2F976	0x7F7A
0x2F977	0x2633E
0x2F978	0x7F95
0x2F979	0x7FFA
0x2F97A	0x8005
0x2F97B	0x264DA
0x2F97C	0x26523
0x2F97D	0x8060
0x2F97E	0x265A8
0x2F97F	0x8070
0x2F980	0x2335F
0x2F981	0x43D5
0x2F982	0x80B2
0x2F983	0x8103
0x2F984	0x440B
0x2F985	0x813E
0x2F986	0x5AB5
0x2F987	0x267A7
0x2F988	0x267B5
0x2F989	0x23393
0x2F98A	0x2339C
0x2F98B	0x8201
0x2F98C	0x8204
0x2F98D	0x8F9E
0x2F98E	0x446B
0x2F98F	0x8291
0x2F990	0x828B
0x2F991	0x829D
0x2F992	0x52B3
0x2F993	0x82B1
0x2F994	0x82B3
0x2F995	0x82BD
0x2F996	0x82E6
0x2F997	0x26B3C
0x2F998	0x82E5
0x2F999	0x831D
0x2F99A	0x8363
0x2F99B	0x83AD
0x2F99C	0x8323
0x2F99D	0x83BD
0x2F99E	0x83E7
0x2F99F	0x8457
0x2F9A0	0x8353
0x2F9A1	0x83CA
0x2F9A2	0x83CC
0x2F9A3	0x83DC
0x2F9A4	0x26C36
0x2F9A5	0x26D6B
0x2F9A6	0x26CD5
0x2F9A7	0x452B
0x2F9A8	0x84F1
0x2F9A9	0x84F3
0x2F9AA	0x8516
0x2F9AB	0x273CA
0x2F9AC	0x8564
0x2F9AD	0x26F2C
0x2F9AE	0x455D
0x2F9AF	0x4561
0x2F9B0	0x26FB1
0x2F9B1	0x270D2
0x2F9B2	0x456B
0x2F9B3	0x8650
0x2F9B4	0x865C
0x2F9B5	0x8667
0x2F9B6	0x8669
0x2F9B7	0x86A9
0x2F9B8	0x8688
0x2F9B9	0x870E
0x2F9BA	0x86E2
0x2F9BB	0x8779
0x2F9BC	0x8728
0x2F9BD	0x876B
0x2F9BE	0x8786
0x2F9BF	0x45D7
0x2F9C0	0x87E1
0x2F9C1	0x8801
0x2F9C2	0x45F9
0x2F9C3	0x8860
0x2F9C4	0x8863
0x2F9C5	0x27667
0x2F9C6	0x88D7
0x2F9C7	0x88DE
0x2F9C8	0x4635
0x2F9C9	0x88FA
0x2F9CA	0x34BB
0x2F9CB	0x278AE
0x2F9CC	0x27966
0x2F9CD	0x46BE
0x2F9CE	0x46C7
0x2F9CF	0x8AA0
0x2F9D0	0x8AED
0x2F9D1	0x8B8A
0x2F9D2	0x8C55
0x2F9D3	0x27CA8
0x2F9D4	0x8CAB
0x2F9D5	0x8CC1
0x2F9D6	0x8D1B
0x2F9D7	0x8D77
0x2F9D8	0x27F2F
0x2F9D9	0x20804
0x2F9DA	0x8DCB
0x2F9DB	0x8DBC
0x2F9DC	0x8DF0
0x2F9DD	0x208DE
0x2F9DE	0x8ED4
0x2F9DF	0x8F38
0x2F9E0	0x285D2
0x2F9E1	0x285ED
0x2F9E2	0x9094
0x2F9E3	0x90F1
0x2F9E4	0x9111
0x2F9E5	0x2872E
0x2F9E6	0x911B
0x2F9E7	0x9238
0x2F9E8	0x92D7
0x2F9E9	0x92D8
0x2F9EA	0x927C
0x2F9EB	0x93F9
0x2F9EC	0x9415
0x2F9ED	0x28BFA
0x2F9EE	0x958B
0x2F9EF	0x4995
0x2F9F0	0x95B7
0x2F9F1	0x28D77
0x2F9F2	0x49E6
0x2F9F3	0x96C3
0x2F9F4	0x5DB2
0x2F9F5	0x9723
0x2F9F6	0x29145
0x2F9F7	0x2921A
0x2F9F8	0x4A6E
0x2F9F9	0x4A76
0x2F9FA	0x97E0
0x2F9FB	0x2940A
0x2F9FC	0x4AB2
0x2F9FD	0x29496
0x2F9FE	0x980B
0x2F9FF	0x980B
0x2FA00	0x9829
0x2FA01	0x295B6
0x2FA02	0x98E2
0x2FA03	0x4B33
0x2FA04	0x9929
0x2FA05	0x99A7
0x2FA06	0x99C2
0x2FA07	0x99FE
0x2FA08	0x4BCE
0x2FA09	0x29B30
0x2FA0A	0x9B12
0x2FA0B	0x9C40
0x2FA0C	0x9CFD
0x2FA0D	0x4CCE
0x2FA0E	0x4CED
0x2FA0F	0x9D67
0x2FA10	0x2A0CE
0x2FA11	0x4CF8
0x2FA12	0x2A105
0x2FA13	0x2A20E
0x2FA14	0x2A291
0x2FA15	0x9EBB
0x2FA16	0x4D56
0x2FA17	0x9EF9
0x2FA18	0x9EFE
0x2FA19	0x9F05
0x2FA1A	0x9F0F
0x2FA1B	0x9F16
0x2FA1C	0x9F3B
0x2FA1D	0x2A600
